 grade     HW  exam1  exam2  final
    A+  103.93    100     96     95
    A+  120.86     87     95     95
     A  114.78     92     82     94
     A   99.20     79     87     93
     A   95.99     90     70     90
     A   98.08     95     85     90
     A   99.27     92     96     90
     A  112.68     80     88     90
    A+  117.20     98     91     90
     A   93.20     85     88     89
     A   96.70     77     85     89
     A   97.41     88     78     89
     A  103.17     94     94     89
    A+  122.86     92     91     89
     A   97.70     94     89     88
     A   99.45     91     77     88
    B+   92.29     79     71     87
    A-   96.91     80     82     87
     A  100.00     90     89     87
     A  102.38     90     81     87
     A  114.86     86     88     87
     A   75.78     92     96     86
     A   80.18     96     90     86
    B+   96.66     81     74     86
     A   97.60     96     95     86
    B+   98.68     79     55     86
     A  100.94     90     84     86
     A  101.96     87     97     86
    A-  102.66     76     79     86
     A  104.63     92     90     86
     A   99.15     82     89     85
     A   95.94     91     92     84
     A   96.43     89     93     84
     A  101.71     87     91     84
     B   89.10     73     70     83
    A-   91.23     82     92     83
     A   97.55     87     88     83
     B  100.43     76     81     83
     A  102.86     93     93     83
    A-  103.08     83     82     83
     B   85.76     82     66     82
     B   89.35     61     54     82
    A-   89.43     82     93     82
     B   95.65     84     74     82
     A   97.70     92     82     82
    A-   98.80     86     83     82
    B+  100.59     77     84     82
     A  108.73     84     89     82
     A  118.21     77     92     82
     A  118.36     96     87     82
     B   89.58     87     82     81
    A-   98.85     75     89     81
    A-   99.59     83     83     81
     B  101.33     70     65     81
     B   70.78     83     76     80
     B   79.14     93     85     80
     B   93.32     74     86     80
     B   93.50     86     82     80
    A-   95.55     81     93     80
     B   96.32     63     83     80
     B   99.17     82     69     80
     B  101.90     81     65     80
     B  107.71     83     70     80
     A  112.80     85     90     80
     B   87.99     79     81     79
     B   88.81     83     74     79
     B   95.29     78     83     79
     B  103.56     88     74     79
     C   69.50     53     59     78
     B   92.44     82     88     78
    A-   98.21     88     84     78
     B  100.53     62     77     78
    A-  102.03     84     87     78
     B   90.07     77     73     77
    B-   92.94     80     61     77
     B   94.95     83     86     77
     B   96.22     80     77     77
     B   97.05     74     74     77
     B  108.38     75     77     77
     B  109.53     75     71     77
     C   43.22     74     58     76
     B   92.16     85     69     76
     B   93.50     90     82     76
     B   93.54     80     70     76
     B   94.43     80     81     76
     B   95.79     81     73     76
    B-   96.46     74     66     76
     C   59.90     48     60     75
    B-   80.14     79     72     75
     B   85.16     73     88     75
    B-   89.79     72     74     75
     B   93.31     75     89     75
    A-   96.60     86     88     75
     B  100.04     89     78     75
     B  101.00     83     76     75
     B  101.44     76     78     75
     B  107.35     66     70     75
    A-  109.50     90     88     75
    B-   86.63     66     71     74
     B   89.71     89     89     74
     B   90.47     83     68     74
    B-   93.70     74     56     74
     B  106.00     88     74     74
    A-  110.33     90     78     74
     C   19.00     86     66     73
     C   36.46     46     45     73
     B   81.55     78     82     73
    B-   81.90     82     74     73
     B   85.80     85     76     73
     B   96.38     87     68     73
    A-   96.63     90     96     73
     B   96.98     81     81     73
     B   97.08     93     81     73
    B-   97.14     77     63     73
     B   99.53     77     78     73
    B-  101.70     65     64     73
    B-  112.81     62     69     73
    B-   71.49     76     73     72
     C   79.58     52     81     72
    C+   85.17     80     53     72
     B   91.16     76     78     72
     B   91.60     77     83     72
     B   91.86     89     81     72
     B   95.63     93     73     72
     B   98.95     74     81     72
    C+   67.26     89     59     71
    B-   79.94     79     76     71
     B   85.60     78     85     71
     B   91.27     75     89     71
     B   91.92     73     84     71
    B-   93.52     78     63     71
     B  102.05     81     83     71
     C   81.72     55     69     70
    B-   83.44     79     80     70
     B   91.78     89     78     70
     B   92.21     73     84     70
     B  108.62     83     86     70
    B-  110.19     63     74     70
     C   48.90     87     75     69
     C   80.05     60     70     69
    C+   87.46     80     67     69
     B   89.45     87     89     69
    C+   91.47     74     78     69
    C+   95.08     86     55     69
    C+   96.99     85     54     69
